name,timestamp,values,app_kubernetes_io_instance,app_kubernetes_io_managed_by,app_kubernetes_io_name,app_kubernetes_io_part_of,container,controller_revision_hash,endpoint,instance,job,kubernetes_pod_name,namespace,node_ip,node_name,pod,statefulset_kubernetes_io_pod_name,strimzi_io_cluster,strimzi_io_kind,strimzi_io_name,topic
,1627395005.343,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-99
,1627395005.343,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,strimzi.cruisecontrol.modeltrainingsamples
,1627395005.343,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,strimzi.cruisecontrol.partitionmetricsamples
name,timestamp,values,app_kubernetes_io_instance,app_kubernetes_io_managed_by,app_kubernetes_io_name,app_kubernetes_io_part_of,container,controller_revision_hash,endpoint,instance,job,kubernetes_pod_name,namespace,node_ip,node_name,pod,statefulset_kubernetes_io_pod_name,strimzi_io_cluster,strimzi_io_kind,strimzi_io_name,topic
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-1
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-11
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-12
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-14
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-16
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-19
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-2
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-20
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-22
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-23
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-25
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-26
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-29
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-3
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-31
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-32
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-33
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-34
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-37
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-38
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-39
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-4
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-41
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-42
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-44
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-45
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-46
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-51
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-56
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-59
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-60
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-63
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-65
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-66
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-67
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-68
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-69
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-7
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-70
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-73
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-74
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-77
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-78
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-79
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-8
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-80
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-82
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-83
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-84
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-86
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-88
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-90
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-91
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-92
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-94
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-95
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-96
,1627395007.544,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5c7bc59bc5,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-1,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-1,my-cluster-metrics-kafka-1,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-97
